Logging to output/continuous/PPO/train/10-06-2024-21-40-08/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.6         |
|    ep_rew_mean          | -16.6        |
| time/                   |              |
|    fps                  | 412          |
|    iterations           | 4            |
|    time_elapsed         | 2            |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0026715302 |
|    clip_fraction        | 0.00117      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 7.48e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 29.1         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00327     |
|    std                  | 0.999        |
|    value_loss           | 66.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.5         |
|    ep_rew_mean          | -17.5        |
| time/                   |              |
|    fps                  | 370          |
|    iterations           | 8            |
|    time_elapsed         | 5            |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0048041204 |
|    clip_fraction        | 0.0152       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -1.43e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 30.6         |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00615     |
|    std                  | 0.999        |
|    value_loss           | 68.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.9         |
|    ep_rew_mean          | -17.9        |
| time/                   |              |
|    fps                  | 349          |
|    iterations           | 12           |
|    time_elapsed         | 8            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0064978865 |
|    clip_fraction        | 0.0328       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -8.34e-07    |
|    learning_rate        | 0.0001       |
|    loss                 | 32           |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00759     |
|    std                  | 0.998        |
|    value_loss           | 67.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 18.7         |
|    ep_rew_mean          | -18.7        |
| time/                   |              |
|    fps                  | 321          |
|    iterations           | 16           |
|    time_elapsed         | 12           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0026009958 |
|    clip_fraction        | 0.0082       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -1.19e-06    |
|    learning_rate        | 0.0001       |
|    loss                 | 32.3         |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00741     |
|    std                  | 0.998        |
|    value_loss           | 68           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
