Logging to output/discrete/PPO/train/11-06-2024-14-38-48/
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -20         |
| time/                   |             |
|    fps                  | 724         |
|    iterations           | 4           |
|    time_elapsed         | 1           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.004479436 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.000399    |
|    learning_rate        | 0.0001      |
|    loss                 | 27.1        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00394    |
|    value_loss           | 64.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20           |
|    ep_rew_mean          | -20          |
| time/                   |              |
|    fps                  | 728          |
|    iterations           | 8            |
|    time_elapsed         | 2            |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0025424948 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.09        |
|    explained_variance   | -5.1e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 34.3         |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00185     |
|    value_loss           | 66.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.8         |
|    ep_rew_mean          | -19.8        |
| time/                   |              |
|    fps                  | 770          |
|    iterations           | 12           |
|    time_elapsed         | 3            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0052409275 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | -6.96e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 34.2         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00374     |
|    value_loss           | 68.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.6        |
|    ep_rew_mean          | -19.6       |
| time/                   |             |
|    fps                  | 807         |
|    iterations           | 16          |
|    time_elapsed         | 5           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.012748389 |
|    clip_fraction        | 0.048       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | -4.39e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 32.4        |
|    n_updates            | 148         |
|    policy_gradient_loss | -0.00945    |
|    value_loss           | 68.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.8        |
|    ep_rew_mean          | -19.8       |
| time/                   |             |
|    fps                  | 819         |
|    iterations           | 20          |
|    time_elapsed         | 6           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.010536274 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | -1.7e-05    |
|    learning_rate        | 0.0001      |
|    loss                 | 34.2        |
|    n_updates            | 188         |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 67.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -20         |
| time/                   |             |
|    fps                  | 832         |
|    iterations           | 24          |
|    time_elapsed         | 7           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.000869974 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | -1.01e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 21.9        |
|    n_updates            | 222         |
|    policy_gradient_loss | -0.00164    |
|    value_loss           | 66.7        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 20           |
|    ep_rew_mean          | -20          |
| time/                   |              |
|    fps                  | 778          |
|    iterations           | 28           |
|    time_elapsed         | 9            |
|    total_timesteps      | 7168         |
| train/                  |              |
|    approx_kl            | 0.0030498437 |
|    clip_fraction        | 0.00898      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.983       |
|    explained_variance   | -1.39e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 32.4         |
|    n_updates            | 262          |
|    policy_gradient_loss | -0.00568     |
|    value_loss           | 66.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -20         |
| time/                   |             |
|    fps                  | 792         |
|    iterations           | 32          |
|    time_elapsed         | 10          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.005829615 |
|    clip_fraction        | 0.0297      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.864      |
|    explained_variance   | -2.26e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 33.9        |
|    n_updates            | 296         |
|    policy_gradient_loss | -0.00491    |
|    value_loss           | 67.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -20         |
| time/                   |             |
|    fps                  | 781         |
|    iterations           | 36          |
|    time_elapsed         | 11          |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.004349175 |
|    clip_fraction        | 0.0176      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.819      |
|    explained_variance   | -1.22e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 28.6        |
|    n_updates            | 336         |
|    policy_gradient_loss | -0.00555    |
|    value_loss           | 68.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20          |
|    ep_rew_mean          | -20         |
| time/                   |             |
|    fps                  | 767         |
|    iterations           | 40          |
|    time_elapsed         | 13          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.003607813 |
|    clip_fraction        | 0.00195     |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.661      |
|    explained_variance   | -1.31e-06   |
