Logging to output/discrete/PPO/train/11-06-2024-14-44-09/
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.4        |
|    ep_rew_mean          | -19.4       |
| time/                   |             |
|    fps                  | 942         |
|    iterations           | 4           |
|    time_elapsed         | 1           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.011816528 |
|    clip_fraction        | 0.0379      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | 0.000613    |
|    learning_rate        | 0.0001      |
|    loss                 | 26.9        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.013      |
|    value_loss           | 61.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.4        |
|    ep_rew_mean          | -19.3       |
| time/                   |             |
|    fps                  | 835         |
|    iterations           | 8           |
|    time_elapsed         | 2           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.003423203 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.52       |
|    explained_variance   | -0.00012    |
|    learning_rate        | 0.0001      |
|    loss                 | 29.5        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00139    |
|    value_loss           | 66.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.3        |
|    ep_rew_mean          | -19.2       |
| time/                   |             |
|    fps                  | 823         |
|    iterations           | 12          |
|    time_elapsed         | 3           |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.012450595 |
|    clip_fraction        | 0.0299      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | 4.4e-05     |
|    learning_rate        | 0.0001      |
|    loss                 | 34.9        |
|    n_updates            | 105         |
|    policy_gradient_loss | -0.00978    |
|    value_loss           | 68.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.4         |
|    ep_rew_mean          | -19.4        |
| time/                   |              |
|    fps                  | 798          |
|    iterations           | 16           |
|    time_elapsed         | 5            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0030088786 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.51        |
|    explained_variance   | 1.54e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 31.7         |
|    n_updates            | 145          |
|    policy_gradient_loss | -0.00602     |
|    value_loss           | 68.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.3        |
