Logging to output/continuous/PPO/train/11-06-2024-01-13-31/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -17.3        |
| time/                   |              |
|    fps                  | 1361         |
|    iterations           | 10           |
|    time_elapsed         | 1            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0014462247 |
|    clip_fraction        | 0.000391     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.000192    |
|    learning_rate        | 0.0001       |
|    loss                 | 26.1         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.002       |
|    std                  | 0.998        |
|    value_loss           | 51.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
| time/                   |             |
|    fps                  | 1300        |
|    iterations           | 20          |
|    time_elapsed         | 3           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.011223046 |
|    clip_fraction        | 0.0578      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | -1.38e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 24.9        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0131     |
|    std                  | 1           |
|    value_loss           | 49.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1302        |
|    iterations           | 30          |
|    time_elapsed         | 5           |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.006728038 |
|    clip_fraction        | 0.0316      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -4.05e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 23.1        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00542    |
|    std                  | 1           |
|    value_loss           | 47          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1308        |
|    iterations           | 40          |
|    time_elapsed         | 7           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.009207825 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -5.36e-06   |
|    learning_rate        | 0.0001      |
|    loss                 | 20.1        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0152     |
|    std                  | 0.995       |
|    value_loss           | 44.6        |
-----------------------------------------
