Logging to output/discrete/PPO/train/11-06-2024-14-21-59/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 19.2         |
|    ep_rew_mean          | -19.1        |
| time/                   |              |
|    fps                  | 97           |
|    iterations           | 4            |
|    time_elapsed         | 10           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0005466819 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | -2.99e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 28.9         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00141     |
|    value_loss           | 65           |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 19.5          |
|    ep_rew_mean          | -19.4         |
| time/                   |               |
|    fps                  | 84            |
|    iterations           | 8             |
|    time_elapsed         | 24            |
|    total_timesteps      | 2048          |
| train/                  |               |
|    approx_kl            | 0.00017927657 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.36         |
|    explained_variance   | -4.77e-07     |
|    learning_rate        | 0.0001        |
|    loss                 | 29            |
|    n_updates            | 70            |
|    policy_gradient_loss | -0.000244     |
|    value_loss           | 68.4          |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 19.2        |
|    ep_rew_mean          | -19.1       |
| time/                   |             |
|    fps                  | 81          |
|    iterations           | 12          |
|    time_elapsed         | 37          |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.007439179 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 24.4        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0068     |
|    value_loss           | 63.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 16.7       |
|    ep_rew_mean          | -16.4      |
| time/                   |            |
|    fps                  | 84         |
|    iterations           | 16         |
|    time_elapsed         | 48         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.01214159 |
|    clip_fraction        | 0.00399    |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.12      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0001     |
|    loss                 | 31.9       |
|    n_updates            | 144        |
|    policy_gradient_loss | -0.00792   |
|    value_loss           | 69.7       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.4        |
|    ep_rew_mean          | -13.8       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 20          |
|    time_elapsed         | 59          |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.013404669 |
|    clip_fraction        | 0.0121      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.875      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 46.7        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00473    |
|    value_loss           | 77.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.3        |
|    ep_rew_mean          | -12.6       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 24          |
|    time_elapsed         | 72          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.015208494 |
|    clip_fraction        | 0.0108      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.823      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 43.8        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00808    |
|    value_loss           | 75.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.7        |
|    ep_rew_mean          | -13.1       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 28          |
|    time_elapsed         | 83          |
|    total_timesteps      | 7168        |
| train/                  |             |
|    approx_kl            | 0.009697968 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.677      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 40.6        |
|    n_updates            | 259         |
|    policy_gradient_loss | -0.00598    |
|    value_loss           | 79.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.2         |
|    ep_rew_mean          | -12.5        |
| time/                   |              |
|    fps                  | 84           |
|    iterations           | 32           |
|    time_elapsed         | 96           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0014717707 |
|    clip_fraction        | 0.0109       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.68        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0001       |
|    loss                 | 38.6         |
|    n_updates            | 299          |
|    policy_gradient_loss | -0.00262     |
|    value_loss           | 93.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.9        |
|    ep_rew_mean          | -13.2       |
| time/                   |             |
|    fps                  | 84          |
|    iterations           | 36          |
|    time_elapsed         | 109         |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.008574501 |
|    clip_fraction        | 0.093       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.747      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 41          |
|    n_updates            | 339         |
|    policy_gradient_loss | -0.0121     |
|    value_loss           | 85.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.7        |
|    ep_rew_mean          | -13.1       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 40          |
|    time_elapsed         | 120         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.005413049 |
|    clip_fraction        | 0           |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.703      |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0001      |
|    loss                 | 47.7        |
|    n_updates            | 375         |
|    policy_gradient_loss | -0.00238    |
|    value_loss           | 86.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 13.2         |
|    ep_rew_mean          | -12.5        |
| time/                   |              |
|    fps                  | 85           |
|    iterations           | 44           |
|    time_elapsed         | 132          |
|    total_timesteps      | 11264        |
| train/                  |              |
|    approx_kl            | 0.0060695866 |
|    clip_fraction        | 0.00703      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.75        |
|    explained_variance   | 5.81e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 42.8         |
|    n_updates            | 415          |
|    policy_gradient_loss | -0.00461     |
|    value_loss           | 98.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.7        |
|    ep_rew_mean          | -11         |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 48          |
|    time_elapsed         | 144         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.003895379 |
|    clip_fraction        | 0.0164      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.667      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 46.4        |
|    n_updates            | 455         |
|    policy_gradient_loss | -0.000592   |
|    value_loss           | 95.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 11.6         |
|    ep_rew_mean          | -10.8        |
| time/                   |              |
|    fps                  | 84           |
|    iterations           | 52           |
|    time_elapsed         | 156          |
|    total_timesteps      | 13312        |
| train/                  |              |
|    approx_kl            | 0.0019629174 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.692       |
|    explained_variance   | 0.0192       |
|    learning_rate        | 0.0001       |
|    loss                 | 30.2         |
|    n_updates            | 495          |
|    policy_gradient_loss | -0.00511     |
|    value_loss           | 54.9         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.4         |
|    ep_rew_mean          | -6.44       |
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 56          |
|    time_elapsed         | 168         |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.006932556 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.592      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 16.9        |
|    n_updates            | 533         |
|    policy_gradient_loss | -0.0284     |
|    value_loss           | 32.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.53         |
|    ep_rew_mean          | -3.53        |
| time/                   |              |
|    fps                  | 84           |
|    iterations           | 60           |
|    time_elapsed         | 181          |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0022592687 |
|    clip_fraction        | 0.00234      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.428       |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0001       |
|    loss                 | 3.44         |
|    n_updates            | 573          |
|    policy_gradient_loss | -0.0143      |
|    value_loss           | 8.88         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.74        |
|    ep_rew_mean          | -3.74       |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 64          |
|    time_elapsed         | 185         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014062233 |
|    clip_fraction        | 0.0208      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.429      |
|    explained_variance   | 0           |
|    learning_rate        | 0.0001      |
|    loss                 | 3.19        |
|    n_updates            | 582         |
|    policy_gradient_loss | 0.0376      |
|    value_loss           | 4.73        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.06         |
|    ep_rew_mean          | -4.06        |
| time/                   |              |
|    fps                  | 92           |
|    iterations           | 68           |
|    time_elapsed         | 188          |
|    total_timesteps      | 17408        |
| train/                  |              |
|    approx_kl            | 0.0068880483 |
|    clip_fraction        | 0.0104       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.413       |
|    explained_variance   | 0            |
|    learning_rate        | 0.0001       |
|    loss                 | 2.28         |
|    n_updates            | 586          |
|    policy_gradient_loss | -0.000951    |
|    value_loss           | 5.41         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.19         |
|    ep_rew_mean          | -3.19        |
| time/                   |              |
|    fps                  | 92           |
|    iterations           | 72           |
|    time_elapsed         | 199          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0011753715 |
|    clip_fraction        | 0.00195      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.297       |
|    explained_variance   | 0            |
|    learning_rate        | 0.0001       |
|    loss                 | 1.62         |
|    n_updates            | 618          |
|    policy_gradient_loss | -0.00648     |
|    value_loss           | 3.63         |
