Logging to output/continuous/PPO/train/11-06-2024-01-11-16/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -17.3        |
| time/                   |              |
|    fps                  | 883          |
|    iterations           | 10           |
|    time_elapsed         | 2            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0137701705 |
|    clip_fraction        | 0.16         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.76        |
|    explained_variance   | -1.03e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.31         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0168      |
|    std                  | 0.965        |
|    value_loss           | 3.61         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | -18.7       |
| time/                   |             |
|    fps                  | 844         |
|    iterations           | 20          |
|    time_elapsed         | 6           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.010522803 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 1.48e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00458     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0114     |
|    std                  | 0.966       |
|    value_loss           | 2.77        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.7         |
|    ep_rew_mean          | -17.7        |
| time/                   |              |
|    fps                  | 849          |
|    iterations           | 30           |
|    time_elapsed         | 9            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0057489113 |
|    clip_fraction        | 0.0816       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.641        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.000766     |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.00958     |
|    std                  | 0.948        |
|    value_loss           | 0.379        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 858         |
|    iterations           | 40          |
|    time_elapsed         | 11          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.008243371 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.744       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000675   |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.979       |
|    value_loss           | 0.000942    |
-----------------------------------------
