Logging to output/continuous/PPO/train/11-06-2024-01-14-33/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -17.3        |
| time/                   |              |
|    fps                  | 1157         |
|    iterations           | 10           |
|    time_elapsed         | 2            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0031018497 |
|    clip_fraction        | 0.00742      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 7.39e-05     |
|    learning_rate        | 0.0001       |
|    loss                 | 25           |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00461     |
|    std                  | 0.997        |
|    value_loss           | 51.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
| time/                   |             |
|    fps                  | 1162        |
|    iterations           | 20          |
|    time_elapsed         | 4           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.010980658 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | -4.49e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 23.7        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0154     |
|    std                  | 1           |
|    value_loss           | 49.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.7         |
|    ep_rew_mean          | -17.7        |
| time/                   |              |
|    fps                  | 1154         |
|    iterations           | 30           |
|    time_elapsed         | 6            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0045428146 |
|    clip_fraction        | 0.059        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 5.72e-06     |
|    learning_rate        | 0.0001       |
|    loss                 | 22.2         |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.0103      |
|    std                  | 1            |
|    value_loss           | 47           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1160        |
|    iterations           | 40          |
|    time_elapsed         | 8           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.010874897 |
|    clip_fraction        | 0.0898      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 8.17e-06    |
|    learning_rate        | 0.0001      |
|    loss                 | 21.7        |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0134     |
|    std                  | 0.987       |
|    value_loss           | 44.6        |
-----------------------------------------
