Logging to output/continuous/PPO/train/11-06-2024-01-14-43/
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | -17.3        |
| time/                   |              |
|    fps                  | 1243         |
|    iterations           | 10           |
|    time_elapsed         | 2            |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0034740407 |
|    clip_fraction        | 0.0209       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -2.22e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 6.59         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00804     |
|    std                  | 0.996        |
|    value_loss           | 14.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.5        |
|    ep_rew_mean          | -18.5       |
| time/                   |             |
|    fps                  | 1208        |
|    iterations           | 20          |
|    time_elapsed         | 4           |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.009975539 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 1.37e-05    |
|    learning_rate        | 0.0001      |
|    loss                 | 4.32        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0168     |
|    std                  | 1           |
|    value_loss           | 8.72        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.7         |
|    ep_rew_mean          | -17.7        |
| time/                   |              |
|    fps                  | 1201         |
|    iterations           | 30           |
|    time_elapsed         | 6            |
|    total_timesteps      | 7680         |
| train/                  |              |
|    approx_kl            | 0.0077803023 |
|    clip_fraction        | 0.0705       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -1.43e-05    |
|    learning_rate        | 0.0001       |
|    loss                 | 1.68         |
|    n_updates            | 580          |
|    policy_gradient_loss | -0.012       |
|    std                  | 0.994        |
|    value_loss           | 4.5          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.7        |
|    ep_rew_mean          | -17.7       |
| time/                   |             |
|    fps                  | 1197        |
|    iterations           | 40          |
|    time_elapsed         | 8           |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.015718596 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | -1.24e-05   |
|    learning_rate        | 0.0001      |
|    loss                 | 0.481       |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.015      |
|    std                  | 0.967       |
|    value_loss           | 2.17        |
-----------------------------------------
