Logging to output/discrete/PPO/train/11-06-2024-14-32-51/
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.04        |
|    ep_rew_mean          | -2.04       |
| time/                   |             |
|    fps                  | 1151        |
|    iterations           | 4           |
|    time_elapsed         | 0           |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.010138005 |
|    clip_fraction        | 0.0482      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.604      |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.0001      |
|    loss                 | 2.17        |
|    n_updates            | 12          |
|    policy_gradient_loss | -0.0495     |
|    value_loss           | 4.02        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.86        |
|    ep_rew_mean          | -0.86       |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 8           |
|    time_elapsed         | 1           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.008710878 |
|    clip_fraction        | 0.0673      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.279      |
|    explained_variance   | 0.409       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.405       |
|    n_updates            | 34          |
|    policy_gradient_loss | -0.0413     |
|    value_loss           | 0.526       |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.82          |
|    ep_rew_mean          | -0.82         |
| time/                   |               |
|    fps                  | 1128          |
|    iterations           | 12            |
|    time_elapsed         | 2             |
|    total_timesteps      | 3072          |
| train/                  |               |
|    approx_kl            | 0.00057558296 |
|    clip_fraction        | 0.00703       |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.102        |
|    explained_variance   | 0.687         |
|    learning_rate        | 0.0001        |
|    loss                 | 0.122         |
|    n_updates            | 74            |
|    policy_gradient_loss | -0.00926      |
|    value_loss           | 0.113         |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.67         |
|    ep_rew_mean          | -0.67        |
| time/                   |              |
|    fps                  | 1087         |
|    iterations           | 16           |
|    time_elapsed         | 3            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0010577708 |
|    clip_fraction        | 0.0152       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.0404      |
|    explained_variance   | 0.656        |
|    learning_rate        | 0.0001       |
|    loss                 | 0.027        |
|    n_updates            | 114          |
|    policy_gradient_loss | -0.0158      |
|    value_loss           | 0.136        |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.64      |
|    ep_rew_mean          | -0.64     |
| time/                   |           |
|    fps                  | 959       |
|    iterations           | 20        |
|    time_elapsed         | 5         |
|    total_timesteps      | 5120      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.0235   |
|    explained_variance   | 0.999     |
|    learning_rate        | 0.0001    |
|    loss                 | 2.85e-08  |
|    n_updates            | 154       |
|    policy_gradient_loss | -4.43e-08 |
|    value_loss           | 3.32e-05  |
---------------------------------------
------------------------------------------
| rollout/                |              |
